survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability_Status_rank,People_avg,Tools_avg,Processes_avg,Equipment_avg,Facilities_avg,Supplies_avg,average
"Biodiversity, Tourism & Conservation SR[813]",CSIR,NRE,Ecosystems Services,Biodiversity & Ecosystems Services,POFARRELL,RGL,Mature,Well resourced,Well resourced,Not applicable,Sufficiently resourced,Working condition,Not applicable,Environment and Natural Resources,Environmental Management Services,"Environmental Management Services (Biodiversity, Tourism & Conservation)","Biodiversity, Tourism & Conservation",4,4,4,0,3,4,0,3.8
Climate Change ecology SR[811],CSIR,NRE,Ecosystems Services,Biodiversity & Ecosystems Services,POFARRELL,RGL,Subcritical,Unbalanced,Under resourced,Not applicable,Sufficiently resourced,Working condition,Not applicable,Environment and Natural Resources,Climate,Climate (Climate Change ecology),Climate Change ecology,1,1,2,0,3,4,0,2.2
Ecological infrastructure assessment SR[814],CSIR,NRE,Ecosystems Services,Biodiversity & Ecosystems Services,POFARRELL,RGL,Mature,Well resourced,Sufficiently resourced,Not applicable,Sufficiently resourced,Working condition,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Ecological infrastructure assessment),Ecological infrastructure assessment,4,4,3,0,3,4,0,3.6
Terrestrial ecology SR[812],CSIR,NRE,Ecosystems Services,Biodiversity & Ecosystems Services,POFARRELL,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Not applicable,Environment and Natural Resources,Earth,Earth (Terrestrial ecology),Terrestrial ecology,4,3,3,3,3,4,0,3.3333333333
Allocation of natural resources in complex coastal systems SR[974],CSIR,NRE,Ecosystems Services,Coastal Systems,SWEERTS,RGL,Developing,Unbalanced,Under resourced,Formal approach,Under resourced,Needs upgrade,Freely available,Environment and Natural Resources,Marine,Marine (Allocation of natural resources in complex coastal systems),Allocation of natural resources in complex coastal systems,3,1,2,3,1,2,4,2.2857142857
Building coastal resilience SR[975],CSIR,NRE,Ecosystems Services,Coastal Systems,SWEERTS,RGL,Subcritical,Developing,Not applicable,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Environment and Natural Resources,Marine,Marine (Building coastal resilience),Building coastal resilience,1,3,0,3,3,0,0,2.5
Climate Change risk and vulnerability analysis SR[972],CSIR,NRE,Ecosystems Services,Coastal Systems,SWEERTS,RGL,Developing,Unbalanced,Sufficiently resourced,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Environment and Natural Resources,Climate,Climate (Climate Change risk and vulnerability analysis),Climate Change risk and vulnerability analysis,3,1,3,0,3,0,0,2.5
Coastal and marine observation and prediction systems SR[976],CSIR,NRE,Ecosystems Services,Coastal Systems,SWEERTS,RGL,Subcritical,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Not applicable,Not applicable,Environment and Natural Resources,Marine,Marine (Coastal and marine observation and prediction systems),Coastal and marine observation and prediction systems,1,1,3,3,3,0,0,2.2
Environmental Screening (fatal flaw analysis) SR[973],CSIR,NRE,Ecosystems Services,Coastal Systems,SWEERTS,RGL,Mature,Unbalanced,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Environment and Natural Resources,Environmental Management Services,Environmental Management Services (Environmental Screening (fatal flaw analysis)),Environmental Screening (fatal flaw analysis),4,1,0,0,0,0,0,2.5
Ocean modelling and dynamics SR[977],CSIR,NRE,Ecosystems Services,Coastal Systems,SWEERTS,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Well resourced,Working condition,Not applicable,Environment and Natural Resources,Marine,Marine (Ocean modelling and dynamics),Ocean modelling and dynamics,3,1,3,3,4,4,0,3
Global Earth Observation Systems of Systems (GEOSS) SR[2224],CSIR,NRE,Ecosystems Services,Earth Observation,RMATHIEU,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Well resourced,Not applicable,Not applicable,Environment and Natural Resources,Earth,Earth (Global Earth Observation Systems of Systems (GEOSS)),Global Earth Observation Systems of Systems (GEOSS),4,4,4,4,4,0,0,4
Climate Change and human health risk and impact assessment SR[360],CSIR,NRE,Global Change,"Climate Studies, Modelling & Environmental Health",FENGELBRECHT,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Environment and Natural Resources,Climate,Climate (Climate Change and human health risk and impact assessment),Climate Change and human health risk and impact assessment,3,4,3,3,3,4,4,3.4285714286
Climate Change mitigation and adaptation SR[361],CSIR,NRE,Global Change,"Climate Studies, Modelling & Environmental Health",FENGELBRECHT,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Environment and Natural Resources,Climate,Climate (Climate Change mitigation and adaptation),Climate Change mitigation and adaptation,3,3,3,3,3,4,4,3.2857142857
Climate Change risk and vulnerability analysis SR[362],CSIR,NRE,Global Change,"Climate Studies, Modelling & Environmental Health",FENGELBRECHT,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Environment and Natural Resources,Climate,Climate (Climate Change risk and vulnerability analysis),Climate Change risk and vulnerability analysis,4,4,3,3,3,4,4,3.5714285714
Climate Modelling SR[363],CSIR,NRE,Global Change,"Climate Studies, Modelling & Environmental Health",FENGELBRECHT,RGL,Mature,Well resourced,Well resourced,CSIR Proprietary/Unique,Under resourced,Needs upgrade,Freely available,Environment and Natural Resources,Climate,Climate (Climate Modelling),Climate Modelling,4,4,4,4,1,2,4,3.2857142857
Human health risk and impact assessment SR[358],CSIR,NRE,Global Change,"Climate Studies, Modelling & Environmental Health",FENGELBRECHT,RGL,Mature,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Environment and Natural Resources,Air Quality,Air Quality (Human health risk and impact assessment),Human health risk and impact assessment,4,3,3,3,3,4,4,3.4285714286
Modelling and Assessment SR[359],CSIR,NRE,Global Change,"Climate Studies, Modelling & Environmental Health",FENGELBRECHT,RGL,Mature,Developing,Well resourced,CSIR Proprietary/Unique,Sufficiently resourced,Working condition,Freely available,Environment and Natural Resources,Air Quality,Air Quality (Modelling and Assessment),Modelling and Assessment,4,3,4,4,3,4,4,3.7142857143
Biofuel feedstock assessment (e.g. nexus) SR[416],CSIR,NRE,Global Change,Global Change & Ecosystems Dynamics,GVMALT,RGL,Emerging,Not applicable,Under resourced,Informal approach,Under resourced,Not applicable,Not applicable,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Biofuel feedstock assessment (e.g. nexus)),Biofuel feedstock assessment (e.g. nexus),2,0,2,2,1,0,0,1.75
Biofuels SR[417],CSIR,NRE,Global Change,Global Change & Ecosystems Dynamics,GVMALT,RGL,Developing,Not applicable,Not applicable,Informal approach,Not applicable,Not applicable,Freely available,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Biofuels),Biofuels,3,0,0,2,0,0,4,3
