survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Anthropometric principles in workplace and equipment design [SR3281],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Formal approach,Under resourced,Not applicable,Controlled,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Anthropometric principles in workplace and equipment design,4,4,0,3,1,0,3,3
"Business process development, management, support and improvement [SR3279]",CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Informal approach,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,"Business process development, management, support and improvement",4,4,0,2,1,0,4,3
Computer Aided Design [SR3295],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Under resourced,Formal approach,Under resourced,Not applicable,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Design,4,4,2,3,1,0,3,2.8333333333
Computer Aided Engineering [SR3296],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Under resourced,Formal approach,Under resourced,Not applicable,Controlled,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Engineering,4,4,2,3,1,0,3,2.8333333333
Customer focussed practices (needs/requirements identification and translation to appropriate market/product strategy) [SR3280],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,Informal approach,Under resourced,Not applicable,Freely available,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,Customer focussed practices (needs/requirements identification and translation to appropriate market/product strategy),4,4,0,2,1,0,4,3
Design for Environment (Sustainability) [SR3301],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Not applicable,CSIR Proprietary/Unique,Sufficiently resourced,Not applicable,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Environment (Sustainability)),Design for Environment (Sustainability),4,4,0,4,3,0,4,3.8
Design for Ergonomics/ Human Factors [SR3302],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Not applicable,Controlled,Product and Process Design & Development,Design Phase,Design Phase (Design for Ergonomics/ Human Factors),Design for Ergonomics/ Human Factors,4,4,4,3,3,0,3,3.5
Design for Life-cycle-cost-and-time [SR3303],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Unbalanced,Sufficiently resourced,Informal approach,Under resourced,Not applicable,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Life-cycle-cost-and-time),Design for Life-cycle-cost-and-time,3,1,3,2,1,0,4,2.3333333333
Design for Maintainability [SR3304],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Developing,Not resourced,Informal approach,Under resourced,Not applicable,Freely available,Product and Process Design & Development,Design Phase,Design Phase (Design for Maintainability),Design for Maintainability,3,3,1,2,1,0,4,2.3333333333
Design of the thermal environment [SR3282],CSIR,BUILT ENVIRONMENT,BST - Building Science and Technology,Architectural Engineering,PDEJAGER,RGL,Developing,Developing,Under resourced,Formal approach,Under resourced,Not applicable,Controlled,Industrial Engineering,Industrial Engineering (Ergonomics and Human Factors),Ergonomics and Human Factors,Design of the thermal environment,3,3,2,3,1,0,3,2.5
