survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Computer Aided Design SR[544],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Manufacturing Processes & Systems,Manufacturing Systems,Engineering Systems,Computer Aided Design,3,3,3,3,3,4,4,3.2857142857
Concept development SR[540],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Under resourced,Informal approach,Sufficiently resourced,Working condition,Freely available,Product and Process Design & Development,Concept Phase,Concept Phase (Concept development),Concept development,3,1,2,2,3,4,4,2.7142857143
"Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc) SR[541]",CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Freely available,Product and Process Design & Development,Design Phase,"Design Phase (Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc))","Detailed design (All disciplines eg mechanical, electrical, electronic, software, material, process, etc)",3,1,3,3,3,4,4,3
Drones SR[547],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Not applicable,Formal approach,Under resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Robotics and Computer Integrated Manufacturing,Robotics and Computer Integrated Manufacturing (Drones),Drones,3,1,0,3,1,0,0,2
Engineering innovation SR[548],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Not resourced,Formal approach,Not applicable,Needs upgrade,Freely available,Modern and Emerging Technologies,Technology Transfer,Technology Transfer (Engineering innovation),Engineering innovation,3,1,1,3,0,2,4,2.3333333333
Fibre-reinforced polymer SR[539],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Emerging,Developing,Under resourced,Formal approach,Under resourced,New requirement,Freely available,Materials Engineering,Composites,Composites  (Fibre-reinforced polymer),Fibre-reinforced polymer,2,3,2,3,1,3,4,2.5714285714
FMECA SR[536],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Emerging,Unbalanced,Not resourced,Formal approach,Not applicable,Not applicable,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (FMECA),FMECA,2,1,1,3,0,0,0,1.75
Mechanical & Material Testing & Characterisation SR[537],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Emerging,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Mechanical & Material Testing & Characterisation),Mechanical & Material Testing & Characterisation,2,3,3,3,3,2,4,2.8571428571
"Modelling, Simulation and Gaming SR[546]",CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Developing,Unbalanced,Not applicable,Formal approach,Not applicable,Needs upgrade,Freely available,Modern and Emerging Technologies,"(Modelling, Simulation and Gaming)","(Modelling, Simulation and Gaming) (Modelling, Simulation and Gaming)","Modelling, Simulation and Gaming",3,1,0,3,0,2,4,2.6
Novel manufacturing methods SR[543],CSIR,DPSS,Aeronautic Systems,Aero Design and Simulation,JSMONK,RGL,Not applicable,Developing,Not resourced,Formal approach,Sufficiently resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (Novel manufacturing methods),Novel manufacturing methods,0,3,1,3,3,2,4,2.6666666667
