survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
"Board establishment, development and mentoring SR[304]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,"Board establishment, development and mentoring",4,1,0,3,0,0,0,2.6666666667
Business case development SR[326],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise support programmes,Industrial parks and estates (IP&E),Business case development,4,1,0,2,0,0,0,2.3333333333
Business environment assessment SR[340],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Developing,Unbalanced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business environment assessment,3,1,0,3,0,0,0,2.3333333333
Business operations assessment SR[341],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business operations assessment,4,4,0,3,0,0,0,3.6666666667
Business plan development SR[337],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Business planning,Business plan development,4,4,0,3,0,0,0,3.6666666667
"Business process development, management, support and improvement SR[294]",CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Industrial Engineering,Industrial Engineering (Engineering Management),Engineering Management,"Business process development, management, support and improvement",4,1,0,2,0,0,0,2.3333333333
Business processes and procedures assessment SR[342],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Well resourced,Not applicable,Formal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business processes and procedures assessment,4,4,0,3,0,0,0,3.6666666667
Business registrations SR[305],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Mature,Unbalanced,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Enterprise creation,Business registrations,4,1,0,2,0,0,0,2.3333333333
Business valuation SR[343],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Opportunity assessment and packaging,Due diligence studies (existing enterprises),Business valuation,2,3,0,2,0,0,0,2.3333333333
Change management SR[295],CSIR,IMPLEMENTATION UNIT,Enterprise Creation for Development,ECD Pretoria,EBEUKMAN,RGL,Emerging,Developing,Not applicable,Informal approach,Not applicable,Not applicable,Not applicable,Enterprise Development,Enterprise creation and development,Competitiveness improvement,Change management,2,3,0,2,0,0,0,2.3333333333
