survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Assessment of water waste streams and decision-support coupling to minimise impacts and maximise reuse SR[765],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Environment and Natural Resources,Wastewater,Wastewater (Assessment of water waste streams and decision-support coupling to minimise impacts and maximise reuse),Assessment of water waste streams and decision-support coupling to minimise impacts and maximise reuse,4,4,4,3,3,2,0,3.3333333333
Behavior informatics SR[744],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Behavior informatics),Behavior informatics,4,4,4,3,3,2,0,3.3333333333
Big Data Analytics SR[748],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,4,4,4,3,3,2,0,3.3333333333
Climate Modelling SR[753],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Environment and Natural Resources,Climate,Climate (Climate Modelling),Climate Modelling,4,4,4,3,3,2,0,3.3333333333
Coastal and marine modelling SR[761],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Environment and Natural Resources,Marine,Marine (Coastal and marine modelling),Coastal and marine modelling,4,4,4,3,3,2,0,3.3333333333
Collaborative Research in Data Processing SR[749],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Collaborative Research in Data Processing,4,4,4,3,3,2,0,3.3333333333
Computational Fluid Analysis SR[735],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Computational Fluid Analysis),Computational Fluid Analysis,4,4,4,3,3,2,0,3.3333333333
Computational Intelligence SR[745],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Computational Intelligence),Computational Intelligence,4,4,4,3,3,2,0,3.3333333333
Data analysis SR[750],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Data analysis,4,4,4,3,3,2,0,3.3333333333
Decision Support Technologies SR[754],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Decision Support,Decision Support (Decision Support Technologies),Decision Support Technologies,4,4,4,3,3,2,0,3.3333333333
Development of integrated water resource information and decision-support systems SR[764],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Environment and Natural Resources,Service,Service (Development of integrated water resource information and decision-support systems),Development of integrated water resource information and decision-support systems,4,4,4,3,3,2,0,3.3333333333
Image Analysis SR[746],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Image Analysis),Image Analysis,4,4,4,3,3,2,0,3.3333333333
Industrial Big Data SR[758],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Not applicable,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,4,4,4,3,4,4,0,3.8333333333
Machine Learning SR[763],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Spatial Analytics,Spatial Analytics (Machine Learning),Machine Learning,4,4,4,3,3,2,0,3.3333333333
"Mechanical, structural, physical and geometrical characterization SR[751]",CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Mechanical, structural, physical and geometrical characterization)","Mechanical, structural, physical and geometrical characterization",4,4,4,3,4,2,4,3.5714285714
Modelling and Simulation SR[737],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Modelling and Simulation),Modelling and Simulation,4,4,4,3,3,2,0,3.3333333333
"Modelling, Simulation and Gaming SR[762]",CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,"(Modelling, Simulation and Gaming)","(Modelling, Simulation and Gaming) (Modelling, Simulation and Gaming)","Modelling, Simulation and Gaming",4,4,4,3,3,2,0,3.3333333333
Multi-Physics Analysis SR[738],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Multi-Physics Analysis),Multi-Physics Analysis,4,4,4,3,3,2,0,3.3333333333
Optimisation and Integration SR[760],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Optimisation and Integration),Optimisation and Integration,4,4,4,3,3,2,0,3.3333333333
Probabilistic modeling and analysis SR[752],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Well resourced,Working condition,Freely available,Modern and Emerging Technologies,"Characterization, Modeling and Simulation of Mechanical Processes","Characterization, Modeling and Simulation of Mechanical Processes (Probabilistic modeling and analysis)",Probabilistic modeling and analysis,4,4,4,3,4,4,4,3.8571428571
Validation SR[739],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Validation),Validation,4,4,4,3,3,2,0,3.3333333333
Verification SR[740],CSIR,MDS,Advanced Mathematical Modelling (AMM),"Hydrodynamic, Sedimentation and Ecosystems Modelling",KSMIT,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Verification),Verification,4,4,4,3,3,2,0,3.3333333333
Behavior informatics [SR3312],CSIR,MDS,Advanced Mathematical Modelling (AMM),Resource and Systems Modelling,NBOTHA1,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Behavior informatics),Behavior informatics,4,4,4,3,3,2,0,3.3333333333
Big Data Analytics [SR3314],CSIR,MDS,Advanced Mathematical Modelling (AMM),Resource and Systems Modelling,NBOTHA1,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,4,4,4,3,3,2,0,3.3333333333
Collaborative Research in Data Processing [SR3315],CSIR,MDS,Advanced Mathematical Modelling (AMM),Resource and Systems Modelling,NBOTHA1,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Collaborative Research in Data Processing,4,4,4,3,3,2,0,3.3333333333
Computational Fluid Analysis [SR3317],CSIR,MDS,Advanced Mathematical Modelling (AMM),Resource and Systems Modelling,NBOTHA1,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Product and Process Design & Development,Analysis and V&V,Analysis and V&V (Computational Fluid Analysis),Computational Fluid Analysis,4,4,4,3,3,2,0,3.3333333333
Computational Intelligence [SR3318],CSIR,MDS,Advanced Mathematical Modelling (AMM),Resource and Systems Modelling,NBOTHA1,RGL,Mature,Well resourced,Well resourced,Formal approach,Sufficiently resourced,Needs upgrade,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Computational Intelligence),Computational Intelligence,4,4,4,3,3,2,0,3.3333333333
