survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Prototyping or Pilot Plant Scale-up SR[672],CSIR,MSM,Energy Materials,Chemical Process Implementation,LLEROUX,RGL,Developing,Emerging,Not applicable,Formal approach,Under resourced,Old,Freely available,Product and Process Design & Development,Manufacturing / Production Phase,Manufacturing / Production Phase (Prototyping or Pilot Plant Scale-up),Prototyping or Pilot Plant Scale-up,3,2,0,3,1,1,4,2.3333333333
Fibre-reinforced polymer SR[141],CSIR,MSM,Energy Materials,Clean Coal Technologies,BNORTH,RGL,Emerging,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Controlled,Materials Engineering,Composites,Composites  (Fibre-reinforced polymer),Fibre-reinforced polymer,2,0,0,0,0,0,3,2.5
Generation Technologies SR[142],CSIR,MSM,Energy Materials,Clean Coal Technologies,BNORTH,RGL,Mature,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Generation Technologies),Generation Technologies,4,1,2,2,1,2,4,2.2857142857
Human health risk and impact assessment SR[140],CSIR,MSM,Energy Materials,Clean Coal Technologies,BNORTH,RGL,Developing,Developing,Under resourced,Informal approach,Under resourced,New requirement,Freely available,Environment and Natural Resources,Air Quality,Air Quality (Human health risk and impact assessment),Human health risk and impact assessment,3,3,2,2,1,3,4,2.5714285714
Hydrogen SR[143],CSIR,MSM,Energy Materials,Clean Coal Technologies,BNORTH,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Under resourced,Working condition,Controlled,Environment and Natural Resources,Energy Generation and Storage,Energy Generation and Storage (Hydrogen),Hydrogen,3,4,3,3,1,4,3,3
"Microporous materials, Metal-organic frameworks, Carbon nanostructures, Carbon composites SR[145]",CSIR,MSM,Energy Materials,Clean Coal Technologies,BNORTH,RGL,Developing,Well resourced,Sufficiently resourced,Formal approach,Under resourced,Working condition,Controlled,Materials Engineering,Structural Materials,"Structural Materials  (Microporous materials, Metal-organic frameworks, Carbon nanostructures, Carbon composites)","Microporous materials, Metal-organic frameworks, Carbon nanostructures, Carbon composites",3,4,3,3,1,4,3,3
New industrial applications SR[144],CSIR,MSM,Energy Materials,Clean Coal Technologies,BNORTH,RGL,Developing,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Modern and Emerging Technologies,Engineering of Manufacturing Processes,Engineering of Manufacturing Processes (New industrial applications),New industrial applications,3,1,2,2,1,2,4,2.1428571429
Carbon nanotubes and graphine SR[433],CSIR,MSM,Energy Materials,HySA,HLANGMI,RGL,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Modern and Emerging Technologies,Micro- and Nano technologies,Micro- and Nano technologies (Carbon nanotubes and graphine),Carbon nanotubes and graphine,0,0,0,0,0,0,0,0
"Microporous materials, Metal-organic frameworks, Carbon nanostructures, Carbon composites SR[434]",CSIR,MSM,Energy Materials,HySA,HLANGMI,RGL,Developing,Unbalanced,Not applicable,Formal approach,Under resourced,Working condition,Controlled,Materials Engineering,Structural Materials,"Structural Materials  (Microporous materials, Metal-organic frameworks, Carbon nanostructures, Carbon composites)","Microporous materials, Metal-organic frameworks, Carbon nanostructures, Carbon composites",3,1,0,3,1,4,3,2.5
Ferrous alloys - Alloy steels (Low Alloy/Tool/Stainless) SR[905],CSIR,MSM,Light Metals,Advanced Casting Technologies,SGOVENDER,RGL,Subcritical,Developing,Under resourced,Informal approach,Under resourced,Needs upgrade,Freely available,Materials Engineering,Metallic,Metallic  (Ferrous alloys - Alloy steels (Low Alloy/Tool/Stainless)),Ferrous alloys - Alloy steels (Low Alloy/Tool/Stainless),1,3,2,2,1,2,4,2.1428571429
