survey_results,enterprise,operating_unit,ca,rg,respondent,respondent_title,capability_status,people,tools,processes,equipment,facilities,supplies,catalogue,capability_group,capability_subgroup,capability,Capability Status,People (avg),Tools (avg),Processes (avg),Equipment (avg),Facilities (avg),Supplies (avg),average
Cognitive Computing SR[2004],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Research Team,WJVRENSBURG,RGL,Emerging,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cognitive Computing),Cognitive Computing,2,1,2,2,1,2,3,1.8571428571
Cyber Manufacturing SR[2005],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Research Team,WJVRENSBURG,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber Manufacturing),Cyber Manufacturing,3,3,3,3,3,4,3,3.1428571429
Industrial Big Data SR[2006],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Research Team,WJVRENSBURG,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Well resourced,Working condition,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,4,4,3,3,4,4,3,3.5714285714
Industry 4.0 (Cloud Computing) SR[2007],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Research Team,WJVRENSBURG,RGL,Emerging,Developing,Under resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cloud Computing),Industry 4.0 (Cloud Computing),2,3,2,2,1,2,3,2.1428571429
Cognitive Computing SR[2000],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Technical Team,DTHOBYE,RGL,Emerging,Unbalanced,Under resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cognitive Computing),Cognitive Computing,2,1,2,2,1,2,3,1.8571428571
Cyber Manufacturing SR[2001],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Technical Team,DTHOBYE,RGL,Developing,Developing,Sufficiently resourced,Formal approach,Sufficiently resourced,Working condition,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cyber Manufacturing),Cyber Manufacturing,3,3,3,3,3,4,3,3.1428571429
Industrial Big Data SR[2002],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Technical Team,DTHOBYE,RGL,Mature,Well resourced,Sufficiently resourced,Formal approach,Well resourced,Working condition,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Industrial Big Data),Industrial Big Data,4,4,3,3,4,4,3,3.5714285714
Industry 4.0 (Cloud Computing) SR[2003],CSIR,MERAKA,CHPC (Centre for High Performance Computing),Technical Team,DTHOBYE,RGL,Emerging,Developing,Under resourced,Informal approach,Under resourced,Needs upgrade,Controlled,Modern and Emerging Technologies,Industry 4.0,Industry 4.0 (Cloud Computing),Industry 4.0 (Cloud Computing),2,3,2,2,1,2,3,2.1428571429
Artifical general intelligence SR[53],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Mature,Unbalanced,Sufficiently resourced,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Artificial Intelligence/Cognitive Technologies,Artificial Intelligence/Cognitive Technologies (Artifical general intelligence),Artifical general intelligence,4,1,3,0,3,0,0,2.75
Big Data Analytics SR[55],CSIR,MERAKA,DIRISA,Data Science Research Initiative of SA,AVAHED,RGL,Subcritical,Emerging,Sufficiently resourced,Not applicable,Sufficiently resourced,Not applicable,Not applicable,Modern and Emerging Technologies,Big Data Analytics & Visualisation,Data Storage and Processing,Big Data Analytics,1,2,3,0,3,0,0,2.25
